Company,Website,Phone,Address,Email,Team Page,Person 1,Job 1,Person 2,Job 2,Person 3,Job 3
movoli,"=HYPERLINK("""")",,"=HYPERLINK(""https://www.google.com/maps/preview/place/'747 Third Avenue 2nd Floor New York'"")",,"=HYPERLINK(""https://www.google.com/search?q='management+team'+movoli"")",Ron Elitzur,"CEO, Co-Founder",Ron Elitzur,Investor, ,""
Reonomy,"=HYPERLINK(""http://www.reonomy.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'247 W 30th Street Suite 2FE New York'"")",info@reonomy.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+reonomy"")",Harlan Milkove,"Co - Founder & VP, Engineering",Charlie Oshman,Founder,Richard Sarkis,Co-founder & CEO
Tilting Point,"=HYPERLINK(""http://www.tiltingpoint.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'110 E 25th St.  New York'"")",info@tiltingpoint.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+tilting-point"")",Kevin Segalla,"Co-founder, Chief Executive Officer",Tom Frisina,Executive Chairman,Dan Sherman,"Co-founder, President, Chief Operating Officer"
Moonlyt.com,"=HYPERLINK(""http://www.moonlyt.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'471 Broadway #3 New York'"")",matt@moonlyt.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+moonlyt-com"")",Matthew Loper,CEO and Co-Founder,Chris Ruggiero,COO and Co-Founder,Howard Jing,Head Developer
Hullabalu,"=HYPERLINK(""http://hullabalu.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",support@hullabalu.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+hullabalu"")",Suzanne Xie,Founder and CEO,Max Rose,Engineer,Katy Farina,Illustrator
Mullen Marketing Search,"=HYPERLINK(""http://www.mullenmarketingsearch.com"")",917-208-2494,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",admin@mullenmarketingsearch.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+mullen-marketing-search"")",Edward Boches,Chief Innovation Officer,Kayla Brown,Marketing Intern, ,""
Spotwired,"=HYPERLINK(""http://www.spotwired.com"")",19177413377,"=HYPERLINK(""https://www.google.com/maps/preview/place/'45 Wall St  New York'"")",support@spotwired.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+spotwired"")",Ken Silverman,Chairman and CTO, ,"", ,""
LayerVault,"=HYPERLINK(""http://layervault.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",support@layervault.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+layervault"")",Kelly Sutton,Founder,Allan Grinshtein,Founder, ,""
Puzzled.by,"=HYPERLINK(""http://puzzled.by"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'Avenue of the Americas 6th Floor New York'"")",contact@puzzled.by,"=HYPERLINK(""https://www.google.com/search?q='management+team'+puzzled-by"")", ,"", ,"", ,""
CAPPTURE,"=HYPERLINK(""http://www.cappture.com"")",1-800-507-8060,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1375 Broadway Suite 600 New York'"")",info@cappture.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+cappture-2"")",John Staub,CEO,Faraz Warsi,COO,Chris Ogier,CTO
KaptureIt,"=HYPERLINK(""http://www.kaptureit.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",hello@kaptureit.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+kaptureit"")",John Aiello Jr,Co-founder,Callum Russell,Co-founder, ,""
Vidaao,"=HYPERLINK(""http://www.vidaao.com"")",212-242-7321,"=HYPERLINK(""https://www.google.com/maps/preview/place/'353 W 48th St 4th Fl New York'"")",info@vidaao.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+vidaao"")",Justin Park,Co-Founder/CEO,Jerome Ansia,Co-Founder/CTO,Jackson Segars,Creative Community Manager
Rewardable,"=HYPERLINK(""http://www.rewardable.me"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'419 Park Avenue South  New York'"")",social@rewardable.me,"=HYPERLINK(""https://www.google.com/search?q='management+team'+rewardable"")",John Boccuzzi,"Founder, EVP of Sales",Peter Komassa,Founder,Djordje Filipovic,CTO
Nativeflow,"=HYPERLINK(""http://www.nativeflow.com"")",1-646-369-1685,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1133 Broadway, Suite 706  New York'"")",info@nativeflow.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+nativeflow"")",Eitan Bauch,Co-Founder and CEO,Avi Yehuda,Co-Founder and CTO,Omer Schory,VP R&D
ResponseTap,"=HYPERLINK(""http://www.responsetap.com/uk/home"")",0844 9 109020,"=HYPERLINK(""https://www.google.com/maps/preview/place/'18th Floor 80 Fifth Avenue, New York'"")",info@responsetap.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+responsetap"")",Stephen Taylor,Chairman, ,"", ,""
Advancepts IT Solutions,"=HYPERLINK(""http://www.advancepts.com"")",6464166930,"=HYPERLINK(""https://www.google.com/maps/preview/place/'Advancepts IT Solutions Inc. Valdemar Ave, Staten Island New York'"")",corporate@advancepts.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+advancepts-it-solutions"")",Naneeta Samtani,CEO, ,"", ,""
4AutoInsuranceQuote,"=HYPERLINK(""http://www.4autoinsurancequote.com"")",4015807272,"=HYPERLINK(""https://www.google.com/maps/preview/place/'340 E 29th St #14c  New York'"")",webmaster@4autoinsurancequote.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+4autoinsurancequote"")",James Shaffer,Founder, ,"", ,""
SingWho,"=HYPERLINK(""http://www.singwho.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'349 5th Ave Suite 429  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+singwho"")",Nicholas Semkiw,Founder/CEO,Jess Silva,Co-Founder/COO, ,""
"@60"" - The Height of Art","=HYPERLINK(""http://www.at60inches.com"")",2124862608,"=HYPERLINK(""https://www.google.com/maps/preview/place/'110 W. 40th Ste. 612 New York'"")",info@60inches.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+60-the-height-of-art"")",Christian Simonds,Co-Founder,Kipton Cronkite,CCO & Co-Founder, ,""
Saber Blast,"=HYPERLINK(""http://www.saberblast.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",matt@saberblast.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+saber-blast"")", ,"", ,"", ,""
PS DEPT.,"=HYPERLINK(""http://www.psdept.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'P.O. Box 1021  New York'"")",contact@psdept.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+ps-dept"")", ,"", ,"", ,""
Burn Note,"=HYPERLINK(""http://burnnote.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+burn-note"")",Jacob Robbins,Founder, ,"", ,""
BeautyStat.com,"=HYPERLINK(""http://www.BeautyStat.com"")",646-554-6421,"=HYPERLINK(""https://www.google.com/maps/preview/place/'433 West 21st Street Suite 2C New York'"")",Ron@BeautyStat.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+beautystat-com"")",Vadim Dostman,"Co-Founder, CTO", ,"", ,""
New York Motor Insurance,"=HYPERLINK(""http://www.newyorkmotorinsurance.com"")",(347) 960-6520,"=HYPERLINK(""https://www.google.com/maps/preview/place/'154 Grand St  New York'"")",drew@newyorkmotorinsurance.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+new-york-motor-insurance"")",Drew Mack,Founder, ,"", ,""
KAANAS,"=HYPERLINK(""http://KAANAS.com"")",2126775984,"=HYPERLINK(""https://www.google.com/maps/preview/place/'Soho / LES  New York'"")",wehelpu@kaanas.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+kaanas"")",Natalia Acevedo,Co-Founder and CEO,Jordan Taylor,"", ,""
Alien Interactive AB,"=HYPERLINK(""http://www.bizpartengage.com"")",+1 415 539 9439,"=HYPERLINK(""https://www.google.com/maps/preview/place/'154 Grand Street  New York'"")",info@bizpartengage.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+alien-interactive-ab"")", ,"", ,"", ,""
Socialyte,"=HYPERLINK("""")",,"=HYPERLINK(""https://www.google.com/maps/preview/place/'79 Madison Avenue 7th Floor New York'"")",,"=HYPERLINK(""https://www.google.com/search?q='management+team'+socialyte"")",Daniel Saynt,Founder & CEO, ,"", ,""
SocialyteCo,"=HYPERLINK(""http://www.socialyte.co"")",(646) 715-4551,"=HYPERLINK(""https://www.google.com/maps/preview/place/'79 Madison Avenue 7th Floor New York'"")",saynt@socialyte.co,"=HYPERLINK(""https://www.google.com/search?q='management+team'+socialyteco"")",Daniel Saynt,Founder & Chief Creative,Beca Alexander,Founder & Editor-in-Chief, ,""
Contactive,"=HYPERLINK(""http://www.contactive.com"")",646-476-9059,"=HYPERLINK(""https://www.google.com/maps/preview/place/'137 Varick Street Suite 605 New York'"")",contact@contactive.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+contactive"")", ,"", ,"", ,""
ElectNext,"=HYPERLINK(""http://www.electnext.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'902 Broadway, 4th Floor  New York'"")",electnext@electnext.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+electnext"")",Keya Dannenbaum,Founder and CEO, ,"", ,""
Fitness Republic,"=HYPERLINK(""http://www.fitnessrepublic.com"")",18776901933,"=HYPERLINK(""https://www.google.com/maps/preview/place/'545 Fifth Avenue 6th Floor New York'"")",info@fitnessrepublic.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+fitness-republic"")", ,"", ,"", ,""
Publir,"=HYPERLINK(""http://www.publir.com"")",(877) 229 9767,"=HYPERLINK(""https://www.google.com/maps/preview/place/'250 Park Ave. 7th Floor New York'"")",inquire@publir.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+publir"")",Joseph Malchow,Cofounder,Anand Ramanujan,Cofounder, ,""
Barron's,"=HYPERLINK(""http://online.barrons.com/home-page"")",1-800-544-0422,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1211 Avenue of the Americas  New York'"")",support@barrons.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+barrons"")",Donald Black,"Vice President, Marketing",Gary Holland,"Publisher & Vice President, Advertising",Edwin A. Finn Jr.,Editor and President
TakewInc.,"=HYPERLINK(""http://www.takewinc.com"")",(631) 464-1888,"=HYPERLINK(""https://www.google.com/maps/preview/place/'10 Barclay Street  New York'"")",team@takewinc.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+takewinc"")",Benjamin Guthleben,CEO & Founder, ,"", ,""
EastBank Capital,"=HYPERLINK(""http://www.eastbankcapital.com"")",(646) 350-2967,"=HYPERLINK(""https://www.google.com/maps/preview/place/'230 Park Avenue, 10th Floor  New York'"")",info@eastbankcapital.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+eastbank-capital"")", ,"", ,"", ,""
DirectNorth,"=HYPERLINK(""http://www.godirectnorth.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'143 Varick Street  New York'"")",connect@directnorth.biz,"=HYPERLINK(""https://www.google.com/search?q='management+team'+directnorth"")",Timothy Connolly,Co-Founder & Managing Partner,Daniel Honig,Co-Founder & Solution Architect, ,""
Relationship Science,"=HYPERLINK(""http://relsci.com"")",888-800-7951,"=HYPERLINK(""https://www.google.com/maps/preview/place/'622 Third Avenue 11th Floor New York'"")",sales@relsci.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+relationship-science"")",Neal Goldman,CEO & Founder,Scott English,Board Observer,Justin Landau,Investor
Ditsies,"=HYPERLINK(""http://www.ditsies.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'107 West 25th Street Suite 5A New York'"")",jacquie@ditsies.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+ditsies"")", ,"", ,"", ,""
Acclivity,"=HYPERLINK(""http://www.acclivitysoftware.com"")",800.322.6962,"=HYPERLINK(""https://www.google.com/maps/preview/place/'285 West Broadway #430 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+acclivity"")",Tom Nash,Co-Founder,Scott Davisson,Co-Founder, ,""
The Blaze,"=HYPERLINK(""http://www.theblaze.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'1133 6th Ave 34th Floor  New York'"")",support@theblaze.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+the-blaze"")",Betsy Morgan,President, ,"", ,""
BinarySEC,"=HYPERLINK(""http://www.easywaf.com"")",6462022590,"=HYPERLINK(""https://www.google.com/maps/preview/place/'41 Madison avenue Suite 2504 New York'"")",jb@binarysec.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+binarysec"")",Michael Vergoz,"President, CEO",Richard Touret,Co-founder, ,""
Swiftwit,"=HYPERLINK(""http://www.swiftwit.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+swiftwit"")", ,"", ,"", ,""
Adafruit,"=HYPERLINK(""http://adafruit.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'150 VARICK ST  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+adafruit"")",Limor Fried,Founder, ,"", ,""
Bontact,"=HYPERLINK(""http://www.bontact.com"")",1-212-6600261,"=HYPERLINK(""https://www.google.com/maps/preview/place/'580 5th Ave, SUITE 702  10036  New York'"")",sales@bontact.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+bontact"")",Sari Roth,CEO,Tzvika Cohen,CTO,Simcha Margaliot,VP Marketing
Principis Capital,"=HYPERLINK(""http://principiscapital.com"")",(866)-311-5463,"=HYPERLINK(""https://www.google.com/maps/preview/place/'132 W 31st Street, Suite 1301  New York'"")",sales@principiscapital.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+principis-capital"")",Jane Prokop,Chief Operating Officer,Christopher Nassau,Vice President of Asset Management,Nick Del Deo,Vice President of Sales
I Know The Chef,"=HYPERLINK(""http://www.iknowthechef.com"")",9178386941,"=HYPERLINK(""https://www.google.com/maps/preview/place/'79 Madison Ave 7th Floor New York'"")",jstern@iknowthechef.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+i-know-the-chef"")",Viren Jhala,CTO, ,"", ,""
WebThriftStore,"=HYPERLINK(""http://www.webthriftstore.com"")",(866) 925-2324,"=HYPERLINK(""https://www.google.com/maps/preview/place/'221 West 17th Street 4th Floor New York'"")",service@webthriftstore.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+webthriftstore"")",Michael Gambacorta,Marketing Director, ,"", ,""
Mic Network,"=HYPERLINK(""http://www.policymic.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'35 West 36ST 9W New York'"")",feedback@policymic.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+mic-network"")",Christopher Altchek,CEO, ,"", ,""
WebCommune,"=HYPERLINK(""http://www.webcommune.com"")",(888) 337-3725,"=HYPERLINK(""https://www.google.com/maps/preview/place/'28 W. 39th Street Suite 401 New York'"")",geek@webcommune.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+webcommune"")",Michael Sarill,"Creative Director, Principal", ,"", ,""
Printzel,"=HYPERLINK(""http://printzel.it"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@printzel.it,"=HYPERLINK(""https://www.google.com/search?q='management+team'+printzel"")", ,"", ,"", ,""
PuzzleSocial,"=HYPERLINK(""http://www.puzzlesocial.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'330 W. 38th St Suite 302 New York'"")",info@puzzlesocial.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+puzzlesocial"")", ,"", ,"", ,""
Pixafy,"=HYPERLINK(""http://www.pixafy.com"")",6463510521,"=HYPERLINK(""https://www.google.com/maps/preview/place/'810 7th Avenue 37th Floor New York'"")",uri@pixafy.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+pixafy"")",Uri Foox,President,Geoff Bartakovics,"Member, Board of Directors", ,""
RAWRSoft,"=HYPERLINK("""")",,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1214 5th Avenue 32G  New York'"")",,"=HYPERLINK(""https://www.google.com/search?q='management+team'+rawrsoft"")",Michael Giannii Calvert,Founder,Jesse Martin,Sound Designer, ,""
Stockviser,"=HYPERLINK(""http://stockviser.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",comments@stockviser.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+stockviser"")",Max Azaham,"Founder, CTO", ,"", ,""
Floored,"=HYPERLINK(""http://www.floored.com"")",9083475845,"=HYPERLINK(""https://www.google.com/maps/preview/place/'96 Spring St Floor 8 New York'"")",dave@floored.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+floored"")",Dustin Byrne,Founder,David Eisenberg,CEO,Renata Quintini,Investor
MetaMed,"=HYPERLINK(""http://metamed.com"")",800.621.6163,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",solutions@metamed.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+metamed"")",Zvi Mowshowitz,CEO,Michael Vassar,Chief Science Officer,Jaan Tallinn,CTO
Spartan Systems,"=HYPERLINK(""http://www.spartansystems.co"")",(866) 658-3902,"=HYPERLINK(""https://www.google.com/maps/preview/place/'116 East 31st Street Suite 4F New York'"")",connect@spartansystems.co,"=HYPERLINK(""https://www.google.com/search?q='management+team'+spartan-systems"")",Tyler Jenks,Founder & Managing Director,Jesse Morris,VP of Marketing,Benjamin Wald,Managing Partner
Ani Marketing Service,"=HYPERLINK(""http://www.animarketingservice.com"")",(917) 553-3790,"=HYPERLINK(""https://www.google.com/maps/preview/place/'75 Wall Street Suite 18H New York'"")",info@animarketingservice.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+ani-marketing-service"")",Aruna Inalsingh,Founder/President, ,"", ,""
SmartBrief,"=HYPERLINK(""http://www.smartbrief.com"")",(202)-737-5500,"=HYPERLINK(""https://www.google.com/maps/preview/place/'148 Madison Ave 7th Floor New York'"")",jwebster@smartbrief.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+smartbrief"")",Rick Stamberger,President & CEO,Vineet Mahajan,CTO,Joe Webster,Director of Marketing
